 time            v(src)          v(A)            v(ZN)           v(load)         psupply        
 3.12560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.14560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.16560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833414e-08 
 3.18560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833414e-08 
 3.20560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.22560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 3.24560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.26560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.28560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.30560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.32560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.34560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.36560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.38560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.40560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.42560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.44560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.46560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.48560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.50560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.52560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.54560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.56560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.58560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.60560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.62560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.64560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.66560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.68560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.70560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.72560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
 3.74560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.76560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.78560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.80560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.82560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833416e-08 
 3.84560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.86560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 3.88560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.90560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.92560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.94560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
 3.96560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833418e-08 
 3.98560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833417e-08 
